ISBN_10,author,book_type,discounted_price,no_of_pages,original_price,published_date,publisher,title_of_book
9780141941295,Antony Beevor,eBook,,496,$14.99,2018-05-17,ePUB,"Arnhem The Battle for the Bridges, 1944: The Sunday Times No 1 Bestseller"
9780717155651,James Plunkett,eBook,,560,$8.99,2013-02-22,ePUB,Strumpet City Bestselling Irish novel with an introduction by Fintan O'Toole
9780316448284,"Kisetsu Morita,Benio",eBook,$16.99,,$17.60,2018-04-24,Format,"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1 "
9780241963913,Bernardine Evaristo,eBook,,288,$15.99,2013-08-29,ePUB,"Mr Loverman From the Booker prize-winning author of Girl, Woman, Other"
9780307514929,Ken Hechler,eBook,$9.99,,$10.27,2009-03-25,Format,The Bridge at Remagen A Story of World War II
9780241322499,John le Carré,eBook,,688,$15.99,2018-09-27,ePUB,A Perfect Spy 
9780718197292,Thomas Penn,eBook,,640,$19.99,2019-10-03,ePUB,Brothers York An English Tragedy
9780755350858,Simon Scarrow,eBook,,448,$12.99,2008-09-04,ePUB,The Eagle and the Wolves (Eagles of the Empire 4) Cato & Macro: Book 4
9781405525961,Anthony Ryan,eBook,,592,$12.99,2013-04-11,ePUB,Blood Song Book 1 of Raven's Shadow
9780748110001,Iain M. Banks,eBook,,464,$12.99,2008-09-04,ePUB,Excession Culture: Book 5
9780141962900,Sue Townsend,eBook,,272,$9.99,2009-11-05,ePUB,The Secret Diary of Adrian Mole Aged 13 ¾ 
9781101155646,Karen White,eBook,$9.99,,$10.27,2009-11-03,Format,The Girl On Legare Street 
9780748133833,Elizabeth Chadwick,eBook,,496,$12.99,2013-06-20,ePUB,The Summer Queen A loving mother. A betrayed wife. A queen beyond compare.
9781370046782,Karen Lynch,eBook,,,$6.87,2019-01-08,Format,Hellion 
9780307887290,Christopher Dickey,eBook,$19.99,,$23.99,2015-07-21,Format,Our Man in Charleston Britain's Secret Agent in the Civil War South
9780748109500,Patricia Cornwell,eBook,,416,$12.99,2008-09-04,ePUB,Postmortem 
9780857191410,Nicolas Darvas,eBook,,,,2020-03-27,,How I Made $2 Million in the Stock Market The Darvas system for stock market profits
9780755384839,Karen Rose,Paperback,,448,$26.40,2015-07-02,Paperback,You Can't Hide (The Chicago Series Book 4) 
9780241376935,Karen M. McManus,eBook,,308,$9.99,2020-01-09,ePUB,One Of Us Is Next TikTok made me buy it
9780748113347,Margaret Atwood,eBook,,656,$11.99,2009-09-03,ePUB,The Blind Assassin 
9780804151429,"James A. Michener,Steve Berry",eBook,,,$5.99,2013-12-17,Format,Alaska A Novel
9780755351879,Jill Mansell,eBook,,300,$11.99,2008-02-10,ePUB,Solo 
9780748109586,Patricia Cornwell,eBook,,400,$11.99,2008-09-04,ePUB,The Body Farm 
9780989768412,Meredith Wild,Paperback,$21.75,288,$22.17,2015-01-24,Paperback,Hardwired 
9780755373277,Maggie O'Farrell,eBook,,352,$11.99,2010-04-29,ePUB,The Hand That First Held Mine 
9780748121960,Jenny Colgan,eBook,,400,$12.99,2012-03-29,ePUB,Welcome To Rosie Hopkins' Sweetshop Of Dreams 
9781407059044,John Grisham,eBook,,496,$15.99,2010-04-21,ePUB,The Firm The gripping bestseller that came before The Exchange
9780755350803,Simon Scarrow,eBook,,448,$12.99,2008-09-04,ePUB,The Eagle In The Sand (Eagles of the Empire 7) Cato & Macro: Book 7
9780141909820,Marian Keyes,eBook,,608,$15.99,2005-07-07,ePUB,Last Chance Saloon 
9781401920524,Dr. Wayne W. Dyer,eBook,$15.99,395,$19.06,2007-07-31,ePUB,"Change Your Thoughts, Change Your Life Living the Wisdom of the Tao"
9781405528252,Claire North,eBook,,416,$11.99,2014-04-08,ePUB,The First Fifteen Lives of Harry August 
9780748114337,Clive Cussler,eBook,,320,$11.99,2009-09-17,ePUB,Raise the Titanic 
9781101985007,Fiona Davis,eBook,$19.99,,$23.99,2016-08-23,Format,The Dollhouse A Novel
9781119278979,"James M. Kouzes,Barry Z. Posner",eText,,,$41.79,2017-03-30,Format,The Leadership Challenge How to Make Extraordinary Things Happen in Organizations
9781405515665,Terry Brooks,eBook,,672,$12.99,2012-02-23,ePUB,The Sword Of Shannara The first novel of the original Shannara Trilogy
9780748117383,Alex Gray,eBook,,352,$12.99,2012-03-01,ePUB,A Pound Of Flesh Book 9 in the Sunday Times bestselling detective series
9780141190761,Raymond Chandler,eBook,,608,$16.99,2001-06-07,ePUB,The Lady in the Lake and Other Novels 
9780141970257,Nicci French,eBook,,432,$15.99,2011-06-23,ePUB,Blue Monday A Frieda Klein Novel
9780857899644,Robert Fabbri,eBook,$8.99,300,$9.49,2014-08-07,ePUB,Masters of Rome VESPASIAN V
9780141972091,David Abulafia,eBook,,512,$19.99,2019-10-03,ePUB,The Boundless Sea A Human History of the Oceans
9780141925325,William Boyd,eBook,,512,$15.99,2003-03-06,ePUB,Any Human Heart A BBC Two Between the Covers pick
9780316247184,Michael Azerrad,eBook,,528,$25.99,2012-12-01,ePUB,"Our Band Could Be Your Life Scenes from the American Indie Underground, 1981-1991"
9780755322824,Neil Gaiman,Paperback,$19.25,214,$22.99,1999-05-01,Paperback,Stardust 
9780241988794,J. D. Salinger,eBook,,240,$15.99,2019-08-13,ePUB,The Catcher in the Rye 
9780061911491,Michael Grant,eBook,,608,$13.99,2009-05-26,ePUB,Hunger A Gone Novel
9780141962016,Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham,eBook,,224,$15.99,2011-07-07,ePUB,The Rule of Law 
9780748111466,Mark Billingham,eBook,,352,$12.99,2009-08-06,ePUB,Bloodline 
9780141929552,Laurie Lee,eBook,,192,$15.99,2000-01-01,ePUB,A Moment of War 
9780571357048,Stewart Lee,eBook,$15.99,324,$18.69,2019-09-03,ePUB,March of the Lemmings Brexit in Print and Performance 2016-2019
9780743483308,Brad Thor,eBook,,384,$9.99,2003-04-15,ePUB,Path of the Assassin Scot Harvath : Book 2
9780857896315,Nick Alexander,eBook,,200,$5.99,2011-08-01,ePUB,The Case of the Missing Boyfriend 
9781250175816,Kristen Simmons,eBook,$11.99,,$14.95,2019-02-05,Format,The Deceivers 
9780735214163,Mike Michalowicz,eBook,$23.99,,$29.14,2017-01-18,Format,Profit First Transform Your Business from a Cash-Eating Monster to a Money-Making Machine
9780748110049,Iain M. Banks,eBook,,608,$12.99,2008-09-04,ePUB,Matter Culture: Book 8
9781405522779,Nora Roberts,eBook,,496,$11.99,2014-04-15,ePUB,The Collector 
9780141963792,James Baldwin,eBook,,240,$15.99,2000-01-01,ePUB,If Beale Street Could Talk 
9780307792419,Isaac Asimov,eBook,$10.99,,$13.19,2011-04-13,Format,Caves of Steel 
9780241341049,Marie Forleo,eBook,,240,$4.99,2019-09-12,ePUB,Everything is Figureoutable The #1 New York Times Bestseller
9781405934633,Caroline Lea,eBook,,464,$15.99,2019-02-07,ePUB,The Glass Woman 
9780141956961,"Fyodor Dostoevsky,Oliver Ready",eBook,,720,$10.99,2014-02-27,ePUB,Crime and Punishment Penguin Classics
9780356511078,Charles Stross,eBook,,368,$12.99,2018-10-30,ePUB,The Labyrinth Index A Laundry Files Novel
9780751564150,Billy Connolly,eBook,,288,$19.99,2016-03-31,ePUB,Billy Connolly's Tracks Across America 
9781405527583,Mark Billingham,eBook,,400,$11.99,2014-05-22,ePUB,The Bones Beneath 
9780241334225,Tom Fletcher,eBook,,112,$1.99,2018-02-22,ePUB,Brain Freeze World Book Day 2018
9780748123032,David Sedaris,eBook,,288,$12.99,2010-08-05,ePUB,Me Talk Pretty One Day 
9780486113708,William Strunk Jr.,eBook,,64,$5.80,2012-03-07,ePUB,The Elements of Style The Original Edition
9781407004563,Dilly Court,eBook,,544,$15.99,2008-09-04,ePUB,A Mother's Courage 
9780755389506,Victoria Hislop,eBook,,72,$3.99,2011-09-15,ePUB,One Cretan Evening and Other Stories 
9780007328918,Trisha Ashley,eBook,,416,$9.99,2009-05-29,ePUB,A Winter's Tale A festive winter read from the bestselling Queen of Christmas romance
9780061947438,C. S. Lewis,eBook,,256,$5.99,2009-06-02,ePUB,"Mere Christianity A Revised and Amplified Edition, With a New Introduction, of the Three Books, Broadcast Talks, Christian Behaviour, and Beyond Personality"
9780297864547,Hairy Bikers,eBook,,224,$19.99,2010-12-02,ePUB,The Hairy Bikers' 12 Days of Christmas Fabulous Festive Recipes to Feed Your Family and Friends
9780748132034,Christopher Brookmyre,eBook,,320,$11.99,2011-06-16,ePUB,Quite Ugly One Morning 
9780748121779,J.D. Robb,eBook,,352,$11.99,2010-10-07,ePUB,Immortal in Death In Death: Book 3
9780241969564,Dinah Jefferies,eBook,,386,$15.99,2015-09-03,ePUB,The Tea Planter's Wife The mesmerising escapist historical romance that became a No.1 Sunday Times bestseller
9780571339150,Richard Ayoade,eBook,$12.99,256,$14.29,2019-09-03,ePUB,Ayoade on Top 
9780755357208,Simon Scarrow,eBook,,448,$12.99,2010-11-11,ePUB,The Legion (Eagles of the Empire 10) Cato & Macro: Book 10
9780241243688,Laurie Lee,eBook,,200,$14.99,2015-11-05,ePUB,Village Christmas And Other Notes on the English Year
9781405928571,Gregg Hurwitz,eBook,,400,$15.99,2020-02-20,ePUB,Into the Fire 
9780753549049,Fredrica Alleyn,eBook,,320,$16.99,2013-04-11,ePUB,The Bracelet Erotic Romance
9780575097599,Ben Aaronovitch,eBook,,384,$11.99,2011-01-10,ePUB,Rivers of London Book 1 in the #1 bestselling Rivers of London series
9780141964072,Lesley Pearse,eBook,,624,$15.99,2011-02-03,ePUB,Belle 
9780141939230,Zadie Smith,eBook,,560,$15.99,2001-01-25,ePUB,White Teeth 
9780241981368,Nina Stibbe,eBook,,176,$15.99,2017-11-02,ePUB,"An Almost Perfect Christmas A hilarious Christmas read from bestselling author of Love, Nina"
9781401944865,Dr. Joe Dispenza,eBook,$22.99,,$27.86,2014-04-29,Format,You Are the Placebo Making Your Mind Matter
9780141386041,Quentin Blake,eBook,,32,$0.00,2017-02-06,ePUB,Revolting Rhymers Competition Winners
9780748129454,"Rafael Nadal,John Carlin",eBook,,320,$12.99,2011-08-18,ePUB,Rafa My Story
9781473573222,Otto B Kraus,eBook,,320,$15.99,2019-10-17,ePUB,The Children's Block Based on a true story by an Auschwitz survivor
9780241404171,Jason Plato,eBook,,304,$14.99,2019-09-19,ePUB,How Not to Be a Professional Racing Driver 
9780544187610,Loren Cordain,eBook,$23.99,288,$29.69,2024-02-27,ePUB,The Paleo Diet Revised Lose Weight and Get Healthy by Eating the Foods You Were Designed to Eat
9781405909969,Giovanna Fletcher,eBook,,416,$15.99,2013-05-23,ePUB,Billy and Me 
9781407035284,Terry Pratchett,eBook,,432,$15.99,2008-10-09,ePUB,Thief Of Time (Discworld Novel 26)
9780992984915,L.A. Casey,eBook,,,$4.99,2016-03-13,Format,"Dominic Slater Brothers, #1"
9780830844135,Michael Card,Paperback,,237,$37.07,2014-07-14,Paperback,John The Gospel of Wisdom
9781405912990,Samantha Young,eBook,,416,$15.99,2012-10-25,ePUB,On Dublin Street 
9780842313940,Hannah Hurnard,Hardcover,$26.25,320,$28.99,1986-07-25,Hardcover,Hinds' Feet on High Places 
9780575091511,Joe Abercrombie,eBook,,592,$12.99,2009-06-18,ePUB,Before They Are Hanged : First Law First Law: Book Two
9780141935386,"David Godman,Sri Ramana Maharshi",eBook,,272,$14.99,2000-01-01,ePUB,Be As You Are The spiritual teachings and wisdom of Sri Ramana Maharshi
9780241146422,Robert Macfarlane,eBook,,496,$16.99,2019-05-02,ePUB,Underland A Deep Time Journey
9781407034737,Terry Pratchett,eBook,,400,$15.99,2009-05-27,ePUB,Moving Pictures (Discworld Novel 10)
